candidate_id,product_name,category,brand,price,unit,specs,product_url,supplier_name,supplier_site
P-001,"РВД Manuli TRACTOR 1SN DN8 5/16"" 215 бар","Рукава высокого давления","Manuli","0","","Стандарт: EN853 1SN; Внутренний диаметр: 8 мм; Наружный диаметр: 14 мм; Рабочее давление: 215 бар; Разрывное давление: 850 бар; Радиус изгиба: 114 мм; Масса погонного метра: 260 г/м; Внутренний слой: синтетическая маслостойкая резина; Наружный слой: синтетическая резина с гладким покрытием; Армирование: 1 высокопрочная стальная оплетка; Рабочая температура: от -40 до +100 °C; Кратковременная температура: +121 °C","https://rvd174.ru/rvd/gidrorukav/1sn/tractor-en853-1sn-8/","ООО «Завод Гидрокомплект»",https://rvd174.ru
P-002,"РВД Semperit 1SN DN8 5/16"" 215 бар","Рукава высокого давления","Semperit","0","","Стандарт: EN853 1SN; Внутренний диаметр: 8,3 мм; Наружный диаметр: 14,7 мм; Рабочее давление: 215 бар; Разрывное давление: 860 бар; Радиус изгиба: 115 мм; Масса погонного метра: 220 г/м; Внутренний слой: синтетический каучук, стойкий к гидравлическим жидкостям; Наружный слой: синтетический каучук, стойкий к абразивам и озону; Армирование: одна оплетка из высокопрочной стальной проволоки; Рабочая температура: от -40 до +100 °C; Кратковременная температура: +120 °C","https://rvd174.ru/rvd/gidrorukav/1sn/rukav-en853-1sn-8/","ООО «Завод Гидрокомплект»",https://rvd174.ru
P-003,"РВД Deston 1SN DN6 1/4"" 225 бар","Рукава высокого давления","Deston","0","","Стандарт: EN 853 1SN; Внутренний диаметр: 6,62 мм; Наружный диаметр: 13 мм; Рабочее давление: 225 бар; Разрывное давление: 900 бар; Радиус изгиба: 100 мм; Внутренний слой: синтетическая резина, стойкая к минеральным, растительным и гидравлическим маслам; Наружный слой: синтетическая резина, стойкая к маслам, истиранию и атмосферным условиям; Усиление: высокопрочная стальная проволока; Рабочая температура: от -40 до +100 °C; Периодическая температура: +125 °C","https://rvd174.ru/rvd/gidrorukav/1sn/deston-6d-s1n-6/","ООО «Завод Гидрокомплект»",https://rvd174.ru
P-004,"РВД Manuli TRACTOR 1SN 08 5/16"" Ру215","Рукава высокого давления","Manuli","0","","Тип рукава: 1SN; Серия: TRACTOR; Номинальный диаметр: 8 мм; Размер: 5/16 дюйма","https://store.rvdural.ru/rvd/rvd-1sn/08-rvd-1sn-5-16-py215-tractor-manuli/","store.rvdural.ru",https://store.rvdural.ru
P-005,"РВД Semperit 1SN Ду8 5/16"" Ру215","Рукава высокого давления","Semperit","0","","Тип рукава: 1SN; Номинальный диаметр: 8 мм; Размер: 5/16 дюйма","https://store.rvdural.ru/rvd/rvd-1sn/5-16-1sn-rukav-vys-davleniya-du-8-ru-215-semperit/","store.rvdural.ru",https://store.rvdural.ru
P-006,"Рукав высокого давления (РВД) 1SN DN06-DESTON","Рукава высокого давления","DESTON","130","","Тип рукава: 1SN; Номинальный диаметр: 6 мм; Артикул: РВД DN06-1SN-DESTON; Код товара: 26563","https://automaster05.ru/categories/item/rukav-vysokogo-davleniya-rvd-1sn-dn06-deston/","Автомастер",https://automaster05.ru
P-007,"Рукав 1SN DN8 P=215 бар","Рукава высокого давления","ООО «НЗ-ПАРТС»","150","","Тип рукава: 1SN; Номинальный диаметр: 8 мм; Рабочее давление: 215 бар; Артикул: 1SN08","https://nz-parts.ru/product/rukav-1sn-dn-8/","ООО «НЗ-ПАРТС»",https://nz-parts.ru
P-008,"Рукав высокого давления DIN 1SN d=08 Semperit","Рукава высокого давления","Semperit","299","м","Артикул: SEM 1SN D08; Тип рукава: 1SN; Стандарты: EN853, DIN20022 часть 4; Материал: резина и сталь; Длина: 1 м; Количество оплеток: 1; Давление: 215 бар; Наружный диаметр: 12,7 мм; Внутренний диаметр: 8 мм; Масса: 0,24 кг; Рабочая температура: от -40 до +100 °C; Наружное покрытие: синтетическая резина","https://lambrizseller.ru/product/803596472743-rukav-visokogo-davleniya-din-1sn-d08-sem","ООО «ЛАМБРИЗ»",https://lambrizseller.ru
P-009,"Рукав РВД 1SN DN06 P225 DESTON","Рукава высокого давления","DESTON","193","м","Артикул: PM00014709; Тип рукава: 1SN; Стандарт: DIN EN 853; Внутренний диаметр: 6 мм; Размер: 1/4 дюйма; Рабочее давление: 225 атм; Внутренний слой: маслостойкая синтетическая резина; Наружный слой: абразивостойкая синтетическая резина, стойкая к маслу, топливу, осадкам и ультрафиолету; Усиление: одинарная оплетка из высокопрочной стальной проволоки; Рабочая температура: от -40 до +100 °C; Рабочая среда: минеральные и гидравлические масла, жидкое топливо, водомасляные эмульсии","https://promma.ru/catalog/rukava-vysokogo-davleniya-i-fitingi/rukava-1sn-1sc/rukava-1sn-deston/44043/","Промышленные материалы",https://promma.ru
P-010,"РВД Manuli 1SN 5/16"" Ру215 TRACTOR","Рукава высокого давления","Manuli","0","","Артикул производителя: HPH-E-1SN-08 TR MNL; Код товара: 176936; Серия: TRACTOR; Тип рукава: 1SN; Внутренний диаметр: 8 мм; Размер: 5/16 дюйма; Максимальное рабочее давление: 215 бар","https://lomaxstore.ru/176936/","Ломакс",https://lomaxstore.ru
P-011,"Рукав Semperit 1 SN 8×3,5","Рукава высокого давления","Semperit","320","","Страна производителя: Австрия; Тип рукава: 1SN; Стандарт: DIN EN 853; Внутренний диаметр: 8 мм; Толщина стенки: 3,5 мм; Наружный диаметр: 15 мм; Рабочее давление: 215 бар; Количество слоев: 2; Минимальный радиус изгиба: 115 мм; Масса погонного метра: 0,22 кг/м; Рабочая температура: от -40 до +100 °C; Внутренний слой: синтетический каучук, стойкий к гидравлическим жидкостям; Наружный слой: синтетический каучук, стойкий к абразивам и озону; Усиление: одна оплетка из высокопрочной стальной проволоки","https://ankas.ru/rukava-vysokogo-davleniya/semperit-1-sn-835-36260","Анкас",https://ankas.ru
P-012,"Рукав высокого давления Deston DN06-1SN","Рукава высокого давления","Deston","0","","Тип: стандартный; Внутренний диаметр: 6 мм; Количество слоев оплетки: 1; Масса: 230 г","https://gidromsh.ru/rukava-vysokogo-davleniya/tproduct/696726402-166037756131-rvd-dn06-1sn","gidromsh.ru",https://gidromsh.ru
